#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2017-05-08 06:55:51
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2017-05-08 07:04:09 ::1 GET /__browserLink/requestData/c23a5b2e2f1c4b13a7350db12f0cfd67 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/Dashboard/ViewDashboard 200 0 0 268
2017-05-08 07:04:12 ::1 GET /Dashboard/GetExpenseApprovals/ sDate=null&eDate=null 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/Dashboard/ViewDashboard 200 0 0 2803
2017-05-08 07:04:14 ::1 GET /User - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/Dashboard/ViewDashboard 200 0 0 2070
2017-05-08 07:04:14 ::1 GET /__browserLink/requestData/dd942223e6be475bbb4574b7b070cf29 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User 200 0 0 67
2017-05-08 07:04:14 ::1 GET /Dashboard/GetPayMethodsAmount/ sDate=null&eDate=null 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/Dashboard/ViewDashboard 200 0 64 5696
2017-05-08 07:04:16 ::1 GET /Dashboard/GetExpenseSubmissions/ sDate=null&eDate=null 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/Dashboard/ViewDashboard 200 0 64 6298
2017-05-08 07:04:16 ::1 GET /Dashboard/GetExpensePostings/ sDate=null&eDate=null 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/Dashboard/ViewDashboard 200 0 64 6940
2017-05-08 07:04:17 ::1 GET /AjaxCall/GetBusinessUnitList/ CompanyId=0 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User 200 0 0 2801
2017-05-08 07:04:17 ::1 GET /Dashboard/GetExpenseTypesAmount/ sDate=null&eDate=null 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/Dashboard/ViewDashboard 200 0 64 8425
2017-05-08 07:04:20 ::1 GET /User/Edit/277 - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User 200 0 0 3240
