#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2017-04-23 09:05:14
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2017-04-23 09:31:31 ::1 GET /css/site-home-css v=sV5FoIrT5owtQorRe1TavUBf1mDBU1WIzptx7ElzaZA1 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 22
2017-04-23 09:31:31 ::1 GET /__browserLink/requestData/f96d2a932423431b9500ca8ddaa3beaf version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 8
2017-04-23 09:31:59 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 371
2017-04-23 09:31:59 ::1 GET /__browserLink/requestData/458dc496c0184ba6bd5bbfc3b5627ed5 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 6
2017-04-23 09:32:03 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 296
2017-04-23 09:32:03 ::1 GET /css/site-home-css v=sV5FoIrT5owtQorRe1TavUBf1mDBU1WIzptx7ElzaZA1 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 16
2017-04-23 09:32:03 ::1 GET /css/SiteLayoutPage-css - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 25
2017-04-23 09:32:03 ::1 GET /Scripts/site-home-js v=AV1K_ijGoRipvhQZlOQVGnqLD_fMcoEXETSdoeNuZU81 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 38
2017-04-23 09:32:03 ::1 GET /css/slicknav.min.css - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 48
2017-04-23 09:32:03 ::1 GET /Scripts/SiteLayoutPage-js - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 58
2017-04-23 09:32:03 ::1 GET /Scripts/jquery.slicknav.min.js - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 63
2017-04-23 09:32:03 ::1 GET /images/logo_1.png - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 25
2017-04-23 09:32:03 ::1 GET /Images/icons/cross.png - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 9
2017-04-23 09:32:03 ::1 GET /css/images/ui-icons_222222_256x240.png - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/css/SiteLayoutPage-css 200 0 0 16
2017-04-23 09:32:03 ::1 GET /images/icons/exclamation.png - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/css/SiteLayoutPage-css 200 0 0 28
2017-04-23 09:32:03 ::1 GET /__browserLink/requestData/48691d878cde4c9aa21029f381359f1d version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 5
2017-04-23 09:37:39 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 528
2017-04-23 09:37:39 ::1 GET /css/site-home-css v=M1K9XutxCfxtGU8jEOCTMcTaEaqaJ9HT6yw-IyRqRho1 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 14
2017-04-23 09:37:39 ::1 GET /__browserLink/requestData/31704cc7b77a47d3a16a05edaf0400cc version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 8
2017-04-23 09:37:51 ::1 GET /User/LogOff - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 302 0 0 12
2017-04-23 09:37:51 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 302 0 0 4
2017-04-23 09:37:51 ::1 GET /User/LogOn - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 67
2017-04-23 09:37:51 ::1 GET /css/login-css v=KVFEqi0OR9qHF__eiS1Nbz9zBRC37qvLp_BPot1fmi41 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 17
2017-04-23 09:37:51 ::1 GET /__browserLink/requestData/9c6bf194120e4d30a0e8d7e999eb63a8 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 5
2017-04-23 09:37:53 ::1 POST /User/LogOn - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 302 0 0 183
2017-04-23 09:37:53 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 355
2017-04-23 09:37:53 ::1 GET /__browserLink/requestData/7cbc691bbbc4467f8e3dfc3ee78be746 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 4
2017-04-23 09:37:58 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 284
2017-04-23 09:37:58 ::1 GET /__browserLink/requestData/4d0fdd8509294fcaa4dee1b4571bf4a2 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 5
2017-04-23 09:38:01 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 288
2017-04-23 09:38:01 ::1 GET /css/site-home-css v=M1K9XutxCfxtGU8jEOCTMcTaEaqaJ9HT6yw-IyRqRho1 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 10
2017-04-23 09:38:01 ::1 GET /css/SiteLayoutPage-css - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 13
2017-04-23 09:38:01 ::1 GET /Scripts/site-home-js v=AV1K_ijGoRipvhQZlOQVGnqLD_fMcoEXETSdoeNuZU81 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 25
2017-04-23 09:38:01 ::1 GET /Scripts/SiteLayoutPage-js - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 28
2017-04-23 09:38:01 ::1 GET /Scripts/jquery.slicknav.min.js - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 31
2017-04-23 09:38:01 ::1 GET /css/slicknav.min.css - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 51
2017-04-23 09:38:01 ::1 GET /images/logo_1.png - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 36
2017-04-23 09:38:01 ::1 GET /Images/icons/cross.png - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 7
2017-04-23 09:38:01 ::1 GET /images/icons/exclamation.png - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/css/SiteLayoutPage-css 200 0 0 39
2017-04-23 09:38:01 ::1 GET /css/images/ui-icons_222222_256x240.png - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/css/SiteLayoutPage-css 200 0 0 67
2017-04-23 09:38:01 ::1 GET /__browserLink/requestData/2dede3b688fd4f708772b04a2d0dc4f1 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 5
2017-04-23 09:44:38 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 470
2017-04-23 09:44:38 ::1 GET /css/site-home-css v=QJO5H0C1DEmYW7f-ARxBfj6Xpy5L14EeszKTjr6b-i01 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 27
2017-04-23 09:44:38 ::1 GET /__browserLink/requestData/81a9b87ad4194454b5d7648cd8d02111 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 6
2017-04-23 09:44:49 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 659
2017-04-23 09:44:49 ::1 GET /__browserLink/requestData/dc616502fbf5453b960795c613302583 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 5
2017-04-23 09:44:52 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 317
2017-04-23 09:44:52 ::1 GET /__browserLink/requestData/5319f16e996e4611a7170505e5642c67 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 11
2017-04-23 09:46:33 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 1104
2017-04-23 09:46:33 ::1 GET /css/site-home-css v=m5lmEe2Ky-H9L_19GQJsQE-7p-Nj9Cr2N8cKfV0FJrc1 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 17
2017-04-23 09:46:33 ::1 GET /__browserLink/requestData/a304659d065e4ed781c8ccccbc3cbcac version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 13
2017-04-23 09:47:01 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 436
2017-04-23 09:47:01 ::1 GET /css/site-home-css v=7Sc_z__GWo9J9DHeE9POPx7t8gEPh3eLlS22hIBEgDM1 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 18
2017-04-23 09:47:01 ::1 GET /__browserLink/requestData/3b6dd076787b45f9929c288003e370d9 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 7
2017-04-23 09:49:27 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 - 302 0 0 7
2017-04-23 09:49:27 ::1 GET /User/LogOn - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 - 200 0 0 228
2017-04-23 09:49:27 ::1 GET /css/login-css v=UeMpxuihz2hIrpJ7CsaCmNQZIUSc4xAiQ4-7xKlHdI01 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 19
2017-04-23 09:49:27 ::1 GET /__browserLink/requestData/1b6800fade644f16a09138eaedeec675 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 7
2017-04-23 09:49:31 ::1 POST /User/LogOn - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 302 0 0 655
2017-04-23 09:49:31 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 485
2017-04-23 09:49:31 ::1 GET /css/site-home-css v=fdK4VEw6i1Np0825fGNaPmk06LhWWpOur98RURFk98A1 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 14
2017-04-23 09:49:31 ::1 GET /__browserLink/requestData/2a6917ae323b4ac6824f531669edc809 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 4
2017-04-23 09:54:55 ::1 GET /User/LogOff - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 302 0 0 10
2017-04-23 09:54:55 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 302 0 0 4
2017-04-23 09:54:55 ::1 GET /User/LogOn - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 77
2017-04-23 09:54:55 ::1 GET /__browserLink/requestData/3cbc4af8823f432d83340f51a5fc7a42 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 4
2017-04-23 09:56:10 ::1 POST /User/LogOn - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 302 0 0 348
2017-04-23 09:56:10 ::1 GET / - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/User/LogOn 200 0 0 373
2017-04-23 09:56:10 ::1 GET /__browserLink/requestData/e3400995ccf94a788b5e67fd1d3eef79 version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://localhost:51722/ 200 0 0 21
